gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
8589946086,2017-03-22T00:00:00Z,83e3,83e3,6.1083,14700,Plat Home Ord Shs,Dalton Investments,buy,1770
8589946086,2017-04-07T00:00:00Z,96900,96900,7.1313,13900,Plat Home Ord Shs,Dalton Investments,buy,1917
8589946086,2017-04-14T00:00:00Z,118e3,118e3,8.6841,21100,Plat Home Ord Shs,Dalton Investments,buy,2704
8589946086,2017-08-01T00:00:00Z,136200,136200,10.0236,18200,Plat Home Ord Shs,Dalton Investments,buy,2484
8589946086,2017-08-10T00:00:00Z,152100,152100,11.1937,15900,Plat Home Ord Shs,Dalton Investments,buy,2487
8589946086,2018-04-27T00:00:00Z,168e3,168e3,12.3639,15900,Plat Home Ord Shs,Dalton Investments,buy,3710
8589946761,2005-06-30T00:00:00Z,45e4,45e4,6.24,45e4,Kawata Mfg Ord Shs,Tower Investment Management,buy,670
8589946761,2008-09-30T00:00:00Z,343e3,343e3,4.76,-107e3,Kawata Mfg Ord Shs,Tower Investment Management,sell,NA
8589947919,2012-10-15T00:00:00Z,535200,535200,5.18,535200,Trancom Ord Shs,Dalton Investments,buy,1520
8589947919,2013-12-13T00:00:00Z,1522e3,1522e3,14.74,233600,Trancom Ord Shs,Dalton Investments,buy,3410
8589947919,2014-11-14T00:00:00Z,601300,601300,5.82,-159700,Trancom Ord Shs,Dalton Investments,sell,4585
8589947919,2015-02-27T00:00:00Z,493500,493500,4.78,-107800,Trancom Ord Shs,Dalton Investments,sell,5030
8589947919,2015-06-30T00:00:00Z,519100,519100,5.03,25600,Trancom Ord Shs,Dalton Investments,buy,6690
8589947919,2015-12-11T00:00:00Z,612100,612100,5.93,93e3,Trancom Ord Shs,Dalton Investments,buy,6310
8589947919,2017-11-16T00:00:00Z,507200,507200,4.91,-104900,Trancom Ord Shs,Dalton Investments,sell,6420
8589949159,2006-07-12T00:00:00Z,6451700,6451700,19.37,6451700,Fuji Corporation Limited Ord Shs,Tower Investment Management,buy,742
8589949159,2007-04-19T00:00:00Z,6450400,6450400,17.56,-1300,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,504
8589949159,2007-05-01T00:00:00Z,5958100,5958100,16.22,-492300,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,487
8589949159,2007-05-08T00:00:00Z,5257100,5257100,14.31,-701e3,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,460
8589949159,2007-05-22T00:00:00Z,4739900,4739900,12.9,-517200,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,455
8589949159,2007-08-23T00:00:00Z,4297e3,4297e3,11.69,-442900,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,404
8589949159,2007-09-07T00:00:00Z,3907200,3907200,10.63,-389800,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,377
8589949159,2007-10-24T00:00:00Z,3496600,3496600,9.51,-410600,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,374
8589949159,2008-02-29T00:00:00Z,3060900,3060900,8.33,-435700,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,335
8589949159,2008-08-29T00:00:00Z,2663800,2663800,7.24,-397100,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell,220
8589949346,2014-11-28T00:00:00Z,1737800,1737800,5.01,1737800,Fields Ord Shs,Dalton Investments,buy,1451
8589949346,2015-01-15T00:00:00Z,2107800,2107800,6.07,37e4,Fields Ord Shs,Dalton Investments,buy,1448
8589949346,2015-02-27T00:00:00Z,2487600,2487600,7.17,379800,Fields Ord Shs,Dalton Investments,buy,1568
8589949346,2015-08-14T00:00:00Z,2866200,2866200,8.26,378600,Fields Ord Shs,Dalton Investments,buy,1887
8589949346,2015-10-30T00:00:00Z,3255800,3255800,9.38,389600,Fields Ord Shs,Dalton Investments,buy,1823
8589949346,2015-12-11T00:00:00Z,3312500,3312500,9.55,56700,Fields Ord Shs,Dalton Investments,buy,2131
8589949346,2017-02-22T00:00:00Z,2944200,2944200,8.48,-368300,Fields Ord Shs,Dalton Investments,sell,1255
8589949346,2017-03-24T00:00:00Z,2582e3,2582e3,7.44,-362200,Fields Ord Shs,Dalton Investments,sell,1254
8589949346,2017-05-16T00:00:00Z,2219300,2219300,6.4,-362700,Fields Ord Shs,Dalton Investments,sell,1245
8589949346,2017-07-06T00:00:00Z,1870200,1870200,5.39,-349100,Fields Ord Shs,Dalton Investments,sell,1200
8589949346,2017-09-11T00:00:00Z,1519500,1519500,4.38,-350700,Fields Ord Shs,Dalton Investments,sell,1100
8589950144,2010-02-26T00:00:00Z,604200,302100,5.04,302100,Hagihara Industries Ord Shs,Tower Investment Management,buy,406.5
8589950144,2010-06-15T00:00:00Z,1229600,614800,10.24,10600,Hagihara Industries Ord Shs,Tower Investment Management,buy,540
8589950959,2006-03-31T00:00:00Z,540900,540900,7.02,540900,PCA Ord Shs,Tower Investment Management,buy,2550
8589952711,2018-05-25T00:00:00Z,955600,955600,5.015,955600,Sosei Group Ord Shs,Taiyo Fund Management,buy,7170
8589953907,2007-01-31T00:00:00Z,362e3,362e3,5.84,362e3,Okada Aiyon Ord Shs,Tower Investment Management,buy,630
